ALUMNO_ID,Cod.Asign,Asignatura,Cod.Car.Sec,Cod.Curso,Convocatoria,Anho,Semestre,Doc.Firma,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,Tercer.Par,TPLab.,Lab.,Proy.,Pond.PP,Pond.SP,Pond.TPLab,Pond.Lab,Pond.Proy,Asis,Requisito,Firma,Primer.Rec,Segundo.Rec,Nota.Final,FirmaCalculada,Carrera_Nombre,Target,Primer_Par_Clean,Segundo_Par_Clean,Ciclo
FIUNA_ALUMNO_005493,13012,FISICA 3,ELE-PLS13 ,3,2,2024,2,0,N,0,5,10,0,20,80,0,40,40,10,10,0,1,0,0.0,0,0,,,Ing. Electromecánica,0,5,10,2024-2
FIUNA_ALUMNO_007517,13012,FISICA 3,ELE-PLS13 ,3,2,2024,2,0,N,0,5,10,0,20,80,0,40,40,10,10,0,1,0,0.0,0,0,,,Ing. Electromecánica,0,5,10,2024-2
FIUNA_ALUMNO_005531,13012,FISICA 3,CIV-PLS13 ,3,2,2024,2,37286,N,2024,50,50,0,20,100,0,40,40,10,10,0,1,1,52.0,0,0,2F-1,,Ing. Civil,0,50,50,2024-2
FIUNA_ALUMNO_007525,13012,FISICA 3,CIV-PLS13 ,3,2,2024,2,37286,N,2024,50,50,0,20,100,0,40,40,10,10,0,1,1,52.0,0,0,2F-1,,Ing. Civil,0,50,50,2024-2
FIUNA_ALUMNO_006819,13012,FISICA 3,MCT-PLS13 ,3,2,2024,2,0,N,0,23,45,0,60,100,0,40,40,10,10,0,1,1,0.0,0,0,,,Ing. Mecatrónica,0,23,45,2024-2
FIUNA_ALUMNO_008841,13012,FISICA 3,MCT-PLS13 ,3,2,2024,2,0,N,0,23,45,0,60,100,0,40,40,10,10,0,1,1,0.0,0,0,,,Ing. Mecatrónica,0,23,45,2024-2
FIUNA_ALUMNO_004581,13012,FISICA 3,CIV-PLS13 ,3,2,2024,2,37614,N,2024,8,70,0,50,100,0,40,40,10,10,0,2,1,64.0,52,0,2F-1,,Ing. Civil,0,8,70,2024-2
FIUNA_ALUMNO_004826,13012,FISICA 3,CIV-PLS13 ,3,2,2024,2,37614,N,2024,8,70,0,50,100,0,40,40,10,10,0,2,1,64.0,52,0,2F-1,,Ing. Civil,0,8,70,2024-2
FIUNA_ALUMNO_006839,13012,FISICA 3,CGF-PLS13 ,3,2,2024,2,37286,S,2024,70,48,0,30,90,0,40,40,10,10,0,1,1,62.0,56,0,2F-2,,Ing. Geográfica,1,70,48,2024-2
FIUNA_ALUMNO_008853,13012,FISICA 3,CGF-PLS13 ,3,2,2024,2,37286,S,2024,70,48,0,30,90,0,40,40,10,10,0,1,1,62.0,56,0,2F-2,,Ing. Geográfica,1,70,48,2024-2
FIUNA_ALUMNO_006845,13012,FISICA 3,IND-PLS13 ,3,2,2024,2,0,N,0,0,40,0,30,100,0,40,40,10,10,0,1,1,0.0,24,0,,,Ing. Industrial,0,0,40,2024-2
FIUNA_ALUMNO_009459,13012,FISICA 3,IND-PLS13 ,3,2,2024,2,0,N,0,0,40,0,30,100,0,40,40,10,10,0,1,1,0.0,24,0,,,Ing. Industrial,0,0,40,2024-2
